26,41,38,9,20,29,28,48,45,43,44,46,10,24,37,36,47,39,23,7,2,27,35,18,3,15,30,12,5,31,4,21,32,22,17,19,14,1,6,25,13,16,33,42,8,49,11,40,34
33,17,4,31,49,46,8,1,38,42,9,36,37,32,45,11,3,34,44,19,15,24,21,25,20,6,41,43,14,47,26,12,13,30,39,10,2,35,28,40,18,29,22,16,7,48,23,5,27
3,13,24,35,1,5,12,41,18,33,6,11,49,31,29,43,8,38,46,9,42,47,40,28,16,45,22,2,19,25,15,23,7,20,37,26,27,34,36,48,4,32,21,17,10,14,44,39,30
27,39,47,34,43,18,11,8,30,35,16,21,26,14,28,22,17,49,31,40,32,44,23,10,33,42,48,4,2,46,3,29,41,6,45,9,7,37,15,12,5,20,1,19,13,24,25,36,38
16,21,36,42,40,23,48,34,39,17,13,5,7,19,20,26,4,30,24,25,12,31,38,37,14,1,29,32,8,28,27,10,43,33,18,45,41,46,44,11,22,49,3,15,35,2,47,6,9
37,15,2,10,6,32,7,25,12,28,4,22,3,40,16,48,21,5,27,14,33,36,26,17,19,49,34,13,42,38,35,44,1,9,11,8,24,30,47,31,23,39,20,41,18,45,46,43,29
1,37,19,38,5,2,21,44,48,32,46,34,30,49,18,39,43,10,45,22,47,3,41,24,11,33,23,26,20,7,13,15,31,42,6,14,25,27,35,4,8,17,29,9,36,12,40,16,28
6,16,26,18,12,45,29,5,35,36,39,4,14,8,19,3,34,33,42,38,1,17,43,47,25,27,2,30,10,41,44,22,46,11,23,31,9,7,21,13,28,40,15,20,32,37,24,49,48
4,11,20,30,44,22,33,3,24,10,37,27,23,13,12,46,26,28,14,8,31,19,39,36,35,5,38,1,34,18,9,32,29,40,49,42,47,15,48,16,2,6,25,43,17,7,21,45,41
46,34,14,47,10,31,27,26,1,6,18,28,9,21,32,29,20,17,49,24,44,13,15,16,12,7,8,40,43,33,38,2,48,25,4,22,36,11,3,45,41,37,39,30,19,23,42,35,5
36,40,17,25,15,41,49,20,11,12,7,45,38,47,30,9,48,2,13,4,5,37,31,34,42,44,18,6,21,39,14,16,35,19,28,1,23,43,24,32,29,26,46,3,33,27,10,8,22
42,43,3,24,39,7,9,15,17,16,33,29,41,2,36,27,25,40,6,35,23,22,20,32,45,28,21,48,30,5,8,37,12,1,26,18,34,49,46,38,19,10,13,44,31,11,4,14,47
8,35,23,28,48,13,32,40,22,25,42,19,31,43,7,41,16,21,11,15,37,29,14,49,4,46,9,10,24,17,36,27,47,45,3,44,20,39,12,33,30,5,6,38,1,34,18,2,26
13,48,15,2,23,40,5,14,20,37,29,49,1,39,3,45,41,12,28,6,24,11,7,38,32,17,33,47,35,42,25,8,16,31,19,30,43,26,10,18,9,21,44,36,34,22,27,46,4
28,32,29,21,7,6,35,11,8,2,41,9,36,25,13,17,40,27,33,48,49,43,34,31,10,14,1,5,23,37,18,38,15,4,47,39,44,22,20,19,46,42,45,24,30,26,16,3,12
19,36,1,43,33,24,26,31,6,40,34,38,28,48,39,4,22,25,2,46,9,35,13,21,41,12,45,16,29,32,10,17,30,44,14,15,8,23,11,3,47,27,5,37,42,20,7,18,49
18,3,9,11,45,17,39,43,7,30,21,16,33,22,14,5,42,1,26,20,34,15,19,40,24,8,44,28,12,49,46,6,36,27,13,4,31,48,41,37,25,2,23,10,38,47,32,29,35
38,31,44,4,16,34,25,17,46,26,3,35,18,42,8,15,29,37,10,47,30,39,9,20,23,2,27,49,11,22,33,45,28,5,1,36,32,12,40,14,24,7,48,6,21,43,13,41,19
47,22,12,27,42,37,10,23,13,5,45,32,44,4,38,19,7,36,35,31,18,30,48,6,29,3,26,46,9,2,43,20,24,41,21,49,17,16,33,28,34,1,14,39,11,25,8,15,40
20,46,8,41,14,49,30,27,15,19,24,12,47,10,11,16,32,23,21,44,43,18,42,4,36,25,37,22,39,40,48,26,3,34,7,5,45,38,29,6,35,13,9,28,2,33,17,1,31
49,18,39,33,8,43,41,30,31,23,36,25,29,16,46,35,5,48,7,3,38,2,44,22,47,21,4,37,26,11,40,28,19,10,15,13,42,6,27,9,45,14,34,12,20,32,1,24,17
32,10,48,23,46,4,24,7,3,18,35,6,45,11,15,33,1,42,43,16,36,41,27,9,38,20,12,29,37,34,5,13,17,8,2,40,19,28,25,44,49,22,30,47,14,31,26,21,39
45,44,5,16,35,1,36,42,10,20,43,17,32,28,23,21,24,4,30,12,11,49,46,48,31,26,3,15,27,9,29,47,25,14,22,7,37,2,34,39,38,18,41,40,6,13,33,19,8
7,29,42,15,21,12,38,9,34,27,1,24,19,33,40,6,18,13,8,32,22,23,17,11,28,35,39,14,4,20,41,30,49,36,43,46,26,47,31,10,3,48,2,25,37,16,5,44,45
9,25,13,37,47,19,20,21,44,48,14,8,4,26,41,2,10,45,17,39,28,34,32,43,6,16,40,7,18,12,24,42,23,35,31,29,33,36,5,1,15,30,49,27,3,38,22,11,46
40,28,30,6,2,27,14,39,5,22,49,13,15,37,25,47,31,20,34,26,29,33,18,45,8,10,19,24,3,1,21,46,44,32,38,12,11,41,43,17,16,35,7,48,23,9,36,4,42
22,26,31,17,34,11,3,2,40,38,47,41,46,12,44,37,14,9,19,49,27,42,1,30,5,13,25,36,6,48,7,33,45,39,16,23,21,8,4,20,32,24,18,35,29,15,28,10,43
2,6,22,29,37,39,17,24,26,31,38,33,12,23,9,7,28,19,3,45,35,14,49,1,18,47,16,44,48,21,32,25,4,15,36,27,46,13,42,34,11,43,10,5,40,8,41,30,20
12,9,41,5,4,8,34,10,25,46,19,42,39,35,47,24,11,44,22,43,17,45,30,13,27,48,31,33,1,29,6,14,26,37,40,20,28,18,7,36,21,15,16,2,49,3,38,32,23
23,47,33,14,32,20,46,18,28,3,5,30,11,45,6,40,27,29,36,2,48,12,10,39,9,37,42,19,16,43,22,24,34,13,8,41,35,44,38,49,26,25,31,1,4,21,15,17,7
15,24,28,13,30,3,42,6,37,49,27,14,43,41,1,38,46,26,16,34,25,40,29,7,21,23,5,11,47,10,45,9,20,17,33,32,48,31,8,2,39,4,35,18,44,19,12,22,36
44,38,25,1,36,26,43,16,4,7,17,40,21,9,31,30,49,8,41,18,10,32,3,46,15,34,20,35,28,27,39,19,2,23,12,24,5,45,14,22,33,47,42,11,48,6,29,13,37
48,49,18,45,27,10,16,22,36,34,2,44,13,20,42,23,15,32,37,21,39,4,8,41,26,24,6,25,7,30,11,31,5,38,35,17,1,40,19,29,12,3,47,46,43,28,14,9,33
21,7,11,19,31,35,40,29,32,47,8,15,48,1,4,12,33,14,5,13,20,28,22,2,17,43,36,38,44,3,49,41,42,18,46,16,10,9,37,30,6,23,26,34,27,39,45,25,24
