k,T,N,Y,3,H,#,$,A,9,b,L,j,6,E,F,R,1,g,4,X,S,W,h,U,2,K,M,I,8,C,Q,D,G,J,d,7,a,+,e,f,B,5,V,O,Z,P,i,c
Y,K,d,V,G,8,a,L,Q,F,$,W,+,b,6,h,#,e,E,1,I,J,N,D,S,g,i,Z,f,U,j,3,4,9,C,2,5,B,c,R,A,7,T,O,H,k,X,M,P
+,R,j,1,$,#,I,e,K,g,E,4,Y,B,V,M,a,8,T,i,b,A,G,d,k,X,Q,6,N,D,Z,O,c,H,7,L,f,C,U,P,S,F,J,2,W,3,h,5,9
L,Z,e,6,M,i,S,D,U,N,#,a,5,h,2,W,F,3,9,Y,7,V,4,b,B,$,P,H,8,g,J,T,A,I,E,G,X,O,k,K,Q,d,C,c,f,1,j,R,+
D,c,3,f,O,5,g,M,R,d,H,9,8,X,J,C,K,+,4,P,B,U,Y,E,W,1,2,L,F,i,a,e,V,$,k,Z,h,I,j,#,6,T,A,N,Q,S,7,b,G
2,B,T,W,C,N,H,P,j,7,A,3,6,f,c,O,k,g,U,X,Z,h,F,+,9,K,5,a,Q,#,M,G,R,Y,S,i,b,J,E,4,1,$,L,d,V,D,I,8,e
7,X,k,4,U,b,Q,C,2,S,O,J,G,i,R,f,H,D,5,A,N,e,#,T,j,3,c,I,W,d,L,h,+,P,1,V,M,9,8,g,Y,a,F,$,Z,6,B,K,E
C,W,7,Z,f,P,4,a,X,k,S,h,i,V,D,L,B,5,Q,+,$,H,A,#,F,O,1,R,d,M,Y,c,8,6,I,N,G,3,e,U,b,E,K,j,2,9,J,T,g
i,D,J,j,8,9,U,K,c,G,5,e,P,$,O,a,b,R,7,E,4,+,T,3,N,d,k,h,#,Z,W,H,X,f,2,g,B,F,L,I,M,6,1,C,A,Q,S,Y,V
V,O,h,H,Y,g,G,F,B,Q,j,T,b,+,W,2,N,Z,I,C,d,i,K,P,D,f,e,5,1,E,7,a,U,3,9,J,$,R,S,A,X,c,k,#,8,M,6,4,L
6,a,B,3,T,Q,e,W,f,A,N,H,E,J,#,S,G,X,1,U,c,2,Z,L,M,V,j,b,O,K,+,D,g,4,h,Y,d,k,9,C,P,8,$,F,R,5,i,7,I
R,S,c,#,I,X,E,1,8,L,4,2,M,D,k,T,A,9,J,F,K,Y,Q,G,6,U,g,$,B,N,P,5,C,V,i,a,j,+,H,7,h,O,e,b,d,W,Z,3,f
d,A,F,+,N,K,1,7,I,U,C,R,3,g,e,V,6,Y,f,M,P,8,9,J,X,a,W,c,L,T,b,k,j,S,$,4,#,2,5,Z,i,Q,O,G,E,B,H,D,h
M,L,b,5,k,$,2,Z,Y,O,9,6,d,#,8,i,h,H,j,3,g,B,7,C,4,E,I,S,R,Q,A,J,e,F,G,1,K,D,f,T,W,V,X,U,N,P,+,c,a
